Date,Max Temperature,Min Temperature,Sun Degree,Moon Degree,Mars Degree,Mercury Degree,Jupitor Degree,Venus Degree,Saturn Degree,Rahu Degree,Ketu Degree
01-01-2018,29.48,15.44, 258.013611 , 64.680833 , 201.607222 , 235.449722 , 204.299167 , 256.070000 , 248.745833 , 112.679444 , 292.679444 
02-01-2018,29.69,14.19, 259.032500 , 79.983611 , 202.230833 , 236.447500 , 204.466944 , 257.328333 , 248.862778 , 112.610278 , 292.610278 
03-01-2018,30.4,15.16, 260.051389 , 95.211111 , 202.854167 , 237.499444 , 204.633056 , 258.586389 , 248.979444 , 112.560833 , 292.560833 
04-01-2018,30.07,16.79, 261.070278 , 110.198333 , 203.477222 , 238.599444 , 204.797500 , 259.844722 , 249.096111 , 112.541389 , 292.541389 
05-01-2018,29.73,15.59, 262.089167 , 124.820556 , 204.100000 , 239.741944 , 204.960278 , 261.102778 , 249.212222 , 112.548333 , 292.548333 
06-01-2018,28.49,15.04, 263.108056 , 139.004444 , 204.722778 , 240.922778 , 205.121111 , 262.360833 , 249.328333 , 112.566944 , 292.566944 
07-01-2018,28.2,14.43, 264.127222 , 152.727500 , 205.345278 , 242.137500 , 205.280278 , 263.618889 , 249.444167 , 112.589444 , 292.589444 
08-01-2018,29.07,14.26, 265.146111 , 166.007778 , 205.967222 , 243.382500 , 205.437778 , 264.876944 , 249.559444 , 112.611667 , 292.611667 
09-01-2018,30.15,15.04, 266.165000 , 178.891111 , 206.589167 , 244.655000 , 205.593611 , 266.135000 , 249.674444 , 112.622778 , 292.622778 
10-01-2018,31.1,16.29, 267.184167 , 191.439444 , 207.210833 , 245.952500 , 205.747222 , 267.393056 , 249.789167 , 112.610000 , 292.610000 
11-01-2018,32.83,17.6, 268.203333 , 203.720556 , 207.832222 , 247.272222 , 205.899167 , 268.651111 , 249.903611 , 112.573333 , 292.573333 
12-01-2018,33.12,19.51, 269.222222 , 215.801389 , 208.453056 , 248.612500 , 206.049444 , 269.908889 , 250.017500 , 112.521389 , 292.521389 
13-01-2018,33.44,19.73, 270.241389 , 227.743611 , 209.073889 , 249.971389 , 206.197500 , 271.166944 , 250.131111 , 112.460833 , 292.460833 
14-01-2018,34.3,19.91, 271.260278 , 239.600833 , 209.694167 , 251.347778 , 206.343611 , 272.424722 , 250.244444 , 112.395833 , 292.395833 
15-01-2018,34.65,21.47, 272.279444 , 251.419167 , 210.314167 , 252.740000 , 206.487778 , 273.682500 , 250.357222 , 112.333889 , 292.333889 
16-01-2018,34.3,20.11, 273.298056 , 263.238056 , 210.933889 , 254.147222 , 206.630000 , 274.940000 , 250.469444 , 112.284167 , 292.284167 
17-01-2018,33.63,20.49, 274.316944 , 275.091667 , 211.553056 , 255.568611 , 206.770278 , 276.197500 , 250.581111 , 112.252222 , 292.252222 
18-01-2018,33.51,18.22, 275.335556 , 287.011389 , 212.171944 , 257.003333 , 206.908056 , 277.455000 , 250.692500 , 112.238056 , 292.238056 
19-01-2018,32.83,17.19, 276.353889 , 299.029444 , 212.790556 , 258.450556 , 207.044167 , 278.712500 , 250.803333 , 112.238889 , 292.238889 
20-01-2018,32.59,16.87, 277.371944 , 311.180278 , 213.408333 , 259.910000 , 207.177778 , 279.969722 , 250.913333 , 112.251944 , 292.251944 
21-01-2018,33.01,16.76, 278.390000 , 323.502778 , 214.026111 , 261.380833 , 207.309167 , 281.226667 , 251.023056 , 112.273056 , 292.273056 
22-01-2018,31.63,16.29, 279.407778 , 336.041944 , 214.643056 , 262.863333 , 207.438611 , 282.483333 , 251.131944 , 112.295556 , 292.295556 
23-01-2018,29.57,16.9, 280.425278 , 348.845000 , 215.259722 , 264.356944 , 207.565556 , 283.740000 , 251.240556 , 112.313333 , 292.313333 
24-01-2018,29.95,14.76, 281.442222 , 1.960278 , 215.875833 , 265.861667 , 207.690556 , 284.996667 , 251.348333 , 112.324444 , 292.324444 
25-01-2018,31.02,13.56, 282.459167 , 15.429722 , 216.491667 , 267.376944 , 207.813056 , 286.253056 , 251.455278 , 112.327222 , 292.327222 
26-01-2018,31.84,14.15, 283.475833 , 29.280278 , 217.106944 , 268.903056 , 207.933056 , 287.509167 , 251.561944 , 112.320000 , 292.320000 
27-01-2018,31.72,14.64, 284.492222 , 43.514167 , 217.721667 , 270.440000 , 208.051111 , 288.765000 , 251.667778 , 112.303889 , 292.303889 
28-01-2018,31.35,15.72, 285.508056 , 58.099167 , 218.336111 , 271.987778 , 208.166667 , 290.020833 , 251.772778 , 112.286667 , 292.286667 
29-01-2018,33.44,15.54, 286.523889 , 72.962500 , 218.950278 , 273.546389 , 208.279722 , 291.276389 , 251.877222 , 112.275000 , 292.275000 
30-01-2018,33.8,16.12, 287.539167 , 87.993333 , 219.563611 , 275.116111 , 208.390556 , 292.531667 , 251.981111 , 112.269444 , 292.269444 
31-01-2018,34.51,16.63, 288.554167 , 103.052222 , 220.176667 , 276.696944 , 208.498889 , 293.786667 , 252.083889 , 112.266667 , 292.266667 
01-02-2018,34.51,16.33, 289.568889 , 117.990833 , 220.789167 , 278.289167 , 208.604722 , 295.041667 , 252.186111 , 112.266389 , 292.266389 
02-02-2018,34.51,16.62, 290.583611 , 132.673611 , 221.401389 , 279.893056 , 208.708056 , 296.296389 , 252.287500 , 112.268333 , 292.268333 
03-02-2018,34.24,17.22, 291.597778 , 146.995000 , 222.013056 , 281.508333 , 208.808889 , 297.550833 , 252.388056 , 112.270556 , 292.270556 
04-02-2018,34.45,17.65, 292.611667 , 160.892222 , 222.624167 , 283.135833 , 208.906944 , 298.805000 , 252.487778 , 112.271111 , 292.271111 
05-02-2018,35.3,17.87, 293.625278 , 174.344167 , 223.234722 , 284.775556 , 209.002778 , 300.059167 , 252.586667 , 112.270833 , 292.270833 
06-02-2018,31.41,18.64, 294.638611 , 187.368056 , 223.845000 , 286.427500 , 209.095833 , 301.313056 , 252.684722 , 112.268333 , 292.268333 
07-02-2018,32.9,20.51, 295.651944 , 200.009444 , 224.454444 , 288.092500 , 209.186111 , 302.566944 , 252.781944 , 112.263611 , 292.263611 
08-02-2018,31.68,17.68, 296.665000 , 212.332500 , 225.063611 , 289.770278 , 209.273889 , 303.820556 , 252.878333 , 112.263056 , 292.263056 
09-02-2018,31.73,16.82, 297.677500 , 224.412222 , 225.671944 , 291.461111 , 209.358889 , 305.073889 , 252.973611 , 112.271944 , 292.271944 
10-02-2018,31.75,18.67, 298.690000 , 236.325556 , 226.280000 , 293.165556 , 209.441389 , 306.326944 , 253.068056 , 112.286389 , 292.286389 
11-02-2018,30.83,17.12, 299.701944 , 248.147778 , 226.887222 , 294.883611 , 209.521111 , 307.580000 , 253.161667 , 112.298889 , 292.298889 
12-02-2018,30.19,17.16, 300.713889 , 259.948056 , 227.493611 , 296.615556 , 209.597778 , 308.832778 , 253.254167 , 112.309444 , 292.309444 
13-02-2018,32.49,15.78, 301.725278 , 271.787500 , 228.099722 , 298.361389 , 209.671944 , 310.085278 , 253.345833 , 112.321111 , 292.321111 
14-02-2018,35.06,16.66, 302.736389 , 283.717500 , 228.704722 , 300.121111 , 209.743056 , 311.337500 , 253.436389 , 112.331389 , 292.331389 
15-02-2018,35.45,20.63, 303.747222 , 295.780000 , 229.309167 , 301.895000 , 209.811389 , 312.589444 , 253.526111 , 112.333611 , 292.333611 
